000000,Unused
010338,TP/Revival
010339,PB/Amplifier
01033A,PB/Generate
01033B,PB/Create
01033C,Wizard/Technique
01033D,Devil/Technique
01033E,God/Technique
01033F,General/Battle
010340,Devil/Battle
010341,God/Battle
010342,CURE POISON
010343,CURE PARALYSIS
010344,CURE SLOW
010345,CURE CONFUSION
010346,CURE FREEZE
010347,CURE SHOCK
010348,YASAKANI MAGATAMA
010349,V101
01034A,V501
01034B,V502
01034C,V801
01034D,LIMITER
01034E,ADEPT
01034F,SWORDSMAN LORE
010350,PROOF OF SWORD-SAINT
010351,SMARTLINK
010352,DIVINE PROTECTION
010353,HEAVENLY/BATTLE
010354,HEAVENLY/POWER
010355,HEAVENLY/MIND
010356,HEAVENLY/ARMS
010357,HEAVENLY/LEGS
010358,HEAVENLY/BODY
010359,HEAVENLY/LUCK
01035A,HEAVENLY/ABILITY
01035B,CENTURION/ABILITY
01035B,Centurion/Ability
01035C,Friend Ring
01035D,Heavenly/HP
01035E,Heavenly/TP
01035F,Heavenly/Resist
010360,Heavenly/Technique
010361,HP/Resurrection
010362,TP/Resurrection
010363,PB/Increase
010366,Trap/Search
010367,HP/Rebirth
010368,TP/Rebirth
010369,PB/Boost
01036A,Centurion/Battle
030000,Monomate
030001,Dimate
030002,Trimate
030100,Monofluid
030101,Difluid
030102,Trifluid
030200,Disk: Lv.01
030201,Disk: Lv.02
030202,Disk: Lv.03
030203,Disk: Lv.04
030204,Disk: Lv.05
030205,Disk: Lv.06
030206,Disk: Lv.07
030207,Disk: Lv.08
030208,Disk: Lv.09
030209,Disk: Lv.10
03020A,Disk: Lv.11
03020B,Disk: Lv.12
03020C,Disk: Lv.13
03020D,Disk: Lv.14
03020E,Disk: Lv.15
03020F,Disk: Lv.16
030210,Disk: Lv.17
030211,Disk: Lv.18
030212,Disk: Lv.19
030213,Disk: Lv.20
030214,Disk: Lv.21
030215,Disk: Lv.22
030216,Disk: Lv.23
030217,Disk: Lv.24
030218,Disk: Lv.25
030219,Disk: Lv.26
03021A,Disk: Lv.27
03021B,Disk: Lv.28
03021C,Disk: Lv.29
03021D,Disk: Lv.30
030300,Sol Atomizer
030400,Moon Atomizer
030500,Star Atomizer
030600,Antidote
030601,Antiparalysis
030700,Telepipe
030800,Trap Vision
030900,Scape Doll
030A00,Monogrinder
030A01,Digrinder
030A02,Trigrinder
030B00,Power Material
030B01,Mind Material
030B02,Evade Material
030B03,HP Material
030B04,TP Material
030B05,Def Material
030B06,Luck Material
030C00,Cell Of MAG 502
030C01,Cell Of MAG 213
030C02,Parts Of RoboChao
030C03,Heart Of Opa Opa
030C04,Heart Of Pian
030C05,Heart Of Chao
030D00,Sorcerer's Right Arm
030D01,S-beat's Arms
030D02,P-arm's Arms
030D03,Delsabre's Right Arm
030D04,C-bringer's Right Arm
030D05,Delsabre's Left Arm
030D06,S-red's Arms
030D07,Dragon's Claw
030D08,Hildebear's Head
030D09,Hildeblue's Head
030D0A,Parts of Baranz
030D0B,Belra's Right Arms
030D0C,GIGUE'S ARMS
030D0D,S-BERILL'S ARMS
030D0E,G-Assasin's Arms
030D0F,Booma's Right Arm
030D10,Gobooma's Right Arm
030D11,GIGOBOOMA'S RIGHT ARMS
030D12,GAL WIND
030D13,Rappy's Wing
030D14,Cladding of Epsilon
030D15,De Rol Le Shell
030E00,BERILL PHOTON
030E01,PARASITIC GENE FLOW
030E02,MAGIC STONE IRITISTA
030E03,BLUE BLACK STONE
030E04,SYNCESTA
030E05,MAGIC WATER
030E06,PARASITIC CELL TYPE D
030E07,MAGIC ROCK HEART KEY
030E08,MAGIC ROCK MOOLA
030E09,STAR AMPLIFIER
030E0A,BOOK OF HITOGATA
030E0B,HEART OF CHU CHU
030E0C,PART OF EGG BLASTER
030E0D,HEART OF ANGEL
030E0E,HEART OF DEVIL
030E0F,KIT OF HAMBERGER
030E10,PANTHER'S SPIRIT
030E11,KIT OF MARK3
030E12,KIT OF MASTER SYSTEM
030E13,KIT OF GENESIS
030E14,KIT OF SEGA SATURN
030E15,KIT OF DREAMCAST
030E16,Amplifier of Resta
030E17,Amplifier of Anti
030E18,Amplifier of Shifta
030E19,Amplifier of Deband
030E1A,Amplifier of Foie
030E1B,Amplifier of Gifoie
030E1C,Amplifier of Rafoie
030E1D,Amplifier of Barta
030E1E,Amplifier of Gibarta
030E1F,Amplifier of Rabarta
030E20,Amplifier of Zonde
030E21,Amplifier of Gizonde
030E22,Amplifier of Razonde
030E23,Amplifier of Red
030E24,Amplifier of Blue
030E25,Amplifier of Yellow
030E26,HEART OF KAPUKAPU
030E27,PHOTON BOOSTER
030F00,Add Slot
031000,PHOTON DROP
031001,PHOTON SPHERE
031002,PHOTON CRYSTAL
031003,Secret Ticket
031004,Photon Ticket
031100,BOOK OF KATANA 1
031101,BOOK OF KATANA 2
031102,BOOK OF KATANA 3
031200,WEAPONS BRONZE BADGE
031201,WEAPONS SILVER BADGE
031202,WEAPONS GOLD BADGE
031203,WEAPONS CRYSTAL BADGE
031204,WEAPONS STEEL BADGE
031205,WEAPONS ALUMINUM BADGE
031206,WEAPONS LEATHER BADGE
031207,WEAPONS BONE BADGE
031209,Item Exchange Ticket
03120A,VALENTINE'S CHOCOLATE
031210,Flower Bouquet
031211,Cake
031212,Accessories
031213,Mr.Naka's Business Card
031300,PRESENT
031400,CHOCOLATE
031401,CANDY
031402,CAKE
031403,SILVER BADGE
031404,GOLD BADGE
031405,CRYSTAL BADGE
031406,IRON BADGE
031407,ALUMINUM BADGE
031408,LEATHER BADGE
031409,BONE BADGE
03140A,BONQUET
03140B,DECOCTION
031500,CHRISTMAS PRESENT
031501,EASTER EGG
031502,JACK-O'S-LANTERN
031600,DISK VOL.1
031601,DISK VOL.2
031602,DISK VOL.3
031603,DISK VOL.4
031604,DISK VOL.5
031605,DISK VOL.6
031606,DISK VOL.7
031607,DISK VOL.8
031608,DISK VOL.9
031609,DISK VOL.10
03160A,DISK VOL.11
03160B,DISK VOL.12
031700,HUNTERS REPORT
031701,HUNTERS REPORT RANK A
031702,HUNTERS REPORT RANK B
031703,HUNTERS REPORT RANK C
031704,HUNTERS REPORT RANK F
031800,Tablet
031802,Dragon Scale
031803,Heaven Striker Coat
031804,Pioneer Parts
031805,Amitie's Memo
031806,Heart of Morolian
031807,Rappy's Beak
031809,D-Photon Core
03180A,Liberta Kit
03180B,Catnip
03180C,Puyo DNA
03180D,Cell of MAG 505
03180F,Cell of MAG 507
031900,Team Points 500
031901,Team Points 1000
031902,Team Points 5000
031903,Team Points 10000
010365,Stat/maintenance
031503,Bronze Easter Egg
031504,Silver Easter Egg
031505,Gold Easter Egg
0102a5,Battlemage's Bracer
0102a6,The Ultimate Shield
010364,Bad/Luck
010366,Trap/Search
010367,Hp/Rebirth
010368,TP/Rebirth
010369,PB/Boost
002101,Buzz Sawd
00030a,Double Booma Claws
00030b,Double Gobooma Claws
00030c,Double Gigobooma Claws
00040a,Hildeblue's Hammer
000409,Hildebear's Hammer
000d04,Inferno Claw
002202,Sigurd's Staff
002601,Suppressed Autogun
002602,Suppressed Lockgun
002603,Suppressed Railgun
002604,Suppressed Raygun
00930a,The Ace Of Spades
009501,Partisan Of Ice
009502,Partisan Of Fire
009801,Rika's Claw Mk.2
006a01,Yasminkov 2001H
006501,Yasminkov 3001R
006b01,Yasminkov 7001V
006c01,Yasminkov 9001M
006c02,Doom Binger
008904,Texas Massacres
010158,Battlemage's Cloak
010159,Torn Dragon Vest
0102a5,Battlemage's Bracer
0102a6,The Ultimate Shield
010364,Bad/Luck
010366,Trap/Search
010367,Hp/Rebirth
010368,TP/Rebirth
010369,PB/Boost
01036a,Centurion/Battle
030e28,Quantum Booster
030e29,Enhanced Scope
010365,Stat/maintenance
031503,Bronze Easter Egg
031504,Silver Easter Egg
031505,Gold Easter Egg
031808,Yahoo's Engine
00D001,Rainblow
001302,Love Ray
0102A7,Rainbow Ring
001201,Dragon Needle
001301,Death Ray
020000,Mag
030280,Lvl30 Foie
030281,Lvl30 Gifoie
030282,Lvl30 Rafoie
030283,Lvl30 Barta
030284,Lvl30 Gibarta
030285,Lvl30 Rabarta
030286,Lvl30 Zonde
030287,Lvl30 Gizonde
030288,Lvl30 Razonde
030289,Lvl30 Grants
03028A,Lvl30 Deband
03028B,Lvl30 Jellen
03028C,Lvl30 Zalure
03028D,Lvl30 Shifta
03028E,Lvl30 Ryuker
03028F,Lvl30 Resta
030290,Lvl30 Anti
030291,Lvl30 Reverser
030292,Lvl30 Megid
000208,Emperor
000E05,Borealis [000E05]
000809,M&D09 YASMINKOV [000809]
006B02,12G Remmington, "BOOMSTICK" [006B02]
000909,Bowcaster of Ares [000909]
009B01,Attitude of Aphrodite [009B01]
